name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
"Penthouse, 4-5 rooms + 5 balconies",,Nrrebro,55.70238,12.54765,Entire home/apt,2815.0,1,431,3.44,1,158,0,
Modern apt. with roof terrace - City apt.,,Vesterbro-Kongens Enghave,55.6476,12.548,Entire home/apt,2224.0,4,57,0.5,1,345,2,
Fantastic 120 sqm: Best location in Copenhagen,,Nrrebro,55.68846,12.56095,Entire home/apt,1500.0,7,35,0.39,1,51,9,
Town house in heart of Copenhagen,,sterbro,55.71316,12.57226,Entire home/apt,1400.0,5,21,0.2,1,258,4,
Spacious charming Apart. In vibrant Nørrebro,,Bispebjerg,55.70016,12.53694,Entire home/apt,700.0,4,12,0.13,1,7,1,
Modern & Creative app. in 2 floors in Copenhagen V,,Vesterbro-Kongens Enghave,55.66746,12.55269,Entire home/apt,893.0,3,23,0.2,1,0,4,
Grand flat in wonderful Copenhagen,,Frederiksberg,55.67545,12.53928,Entire home/apt,3000.0,90,1,0.01,1,358,0,
Luxury Center City Apt w. Balcony,,Indre By,55.67581,12.57425,Entire home/apt,1199.0,1,39,0.35,1,0,0,
Modern. Central. Harbour view.,,Amager Vest,55.65814,12.567,Entire home/apt,1906.0,7,27,0.22,1,0,0,
Beautiful family friendly apartment at Østerbro,,sterbro,55.69782,12.58056,Entire home/apt,1130.0,5,31,0.25,1,0,1,
COZY flat centrally LOCATED in Cph.,,Nrrebro,55.68926,12.54708,Entire home/apt,900.0,3,20,0.18,1,97,6,
Charming house in Copenhagen,,Valby,55.66503,12.50346,Entire home/apt,1115.0,5,33,0.27,1,53,1,
"Charming Apartment Vesterbro, Copenhagen",,Vesterbro-Kongens Enghave,55.67029,12.54127,Entire home/apt,1200.0,5,5,0.93,1,83,5,
Central apartment at top floor,,Amager Vest,55.66729,12.59737,Entire home/apt,986.0,3,151,1.2,1,316,21,
Cosy apt in vibrant neighborhood,,Nrrebro,55.69103,12.54436,Entire home/apt,1036.0,3,14,0.11,1,5,3,
Fantastic villa in wonderful CPH,,Valby,55.66613,12.49663,Entire home/apt,3011.0,6,32,0.33,2,60,2,
Apartment in the heart of Copenhagen with lakeview,,Indre By,55.69054,12.57163,Entire home/apt,1195.0,2,2,0.05,1,0,1,
COPENHAGEN DREAMING?,,Indre By,55.6852,12.59524,Entire home/apt,1300.0,5,16,0.14,1,31,1,
Heart of Copenhagen - yet quiet,,Indre By,55.67637,12.5869,Entire home/apt,1179.0,1,31,0.25,1,0,0,
"Large, sunny with awesome lakeview",,Indre By,55.69291,12.57089,Entire home/apt,1186.0,6,61,0.49,1,109,5,
"Cool + kid-friendly, big & sunny",,Amager Vest,55.66505,12.58187,Entire home/apt,1200.0,5,36,0.33,1,0,8,
Luxurious appartment in Copenhagen,,sterbro,55.70274,12.58152,Entire home/apt,1312.0,2,117,0.95,1,274,12,
Cozy app. with access to garden,,Frederiksberg,55.69516,12.52948,Entire home/apt,599.0,2,23,0.19,1,256,1,
"Perfect family apartment, Østerbro",,sterbro,55.70253,12.5789,Entire home/apt,1300.0,5,37,0.33,1,99,7,
Villa apartment with privat garden.,,Amager st,55.65797,12.60814,Entire home/apt,825.0,5,3,0.08,1,2,0,
Bright and cozy apartment,,Indre By,55.66952,12.58035,Entire home/apt,1050.0,2,25,0.21,1,10,1,
